Department,Location,Part,Heci,Description,Qty,UOM,Manufacturer,Notes,Alternative Part Number
FIBER DUCT,C-1,FVTHD2X2YL,,2X2 VERTICAL TEE  WITH HINGED DOOR,2,EA,,,
FIBER DUCT,C-1,FGS-MH9A-C,,2X2 90degree HORIZONTAL ELBOW,3,EA,,,
FIBER DUCT,C-1,FGS-MDSA-AC,,2X2 to 4X4 STRAIGHT ADAPTER (REDUCER),1,EA,,,
FIBER DUCT,C-1,FGS-MTRM-C,,2X2 TRUMPET FLARE KIT,2,EA,,,
FIBER DUCT,C-1,FGS-HWMB-D,,4X4 VERTICAL SLOTTED STRAIGHT SECTION UNIVERSAL MOUNTING BRACKET,6,EA,,,
FIBER DUCT,C-1,FGS(X)-MHRT-F/B,,4X12 DOWNSPOUT EXPRESS EXIT,1,EA,,,
FIBER DUCT,C-1,FGS(X)-SU4E-F,,4X12 45degree UP ELBOW SNAP ON COVER,4,EA,,,
FIBER DUCT,C-1,FGS(X)-MU4E-F,,4X12 45degree UP ELBOW ,2,EA,,,
FIBER DUCT,C-1,FGS(X)-MD4E-F,,4X12 45degree DOWN ELBOW,2,EA,,,
FIBER DUCT,C-1,FGS-MFAW-F,,12X12 FIBER JUNCTION KIT,2,EA,,,
FIBER DUCT,C-1,FGS-MEXC-EA,,4X4 EXPRESS EXIT SINGLE REAR HINGED COVER,6,EA,,,
FIBER DUCT,C-1,FGS-HMEC-F,,4X12 END CAP KIT,6,EA,,,
FIBER DUCT,C-1,FGS-MH9E-F,,4X12 90degree HORIZONTAL ELBOW,2,EA,,,
FIBER DUCT,C-1,FGS-MVAR-F,,4X12 EXPANDABLE STRAIGHT SECTION,1,EA,,,
,,,,,,,,,
FIBER DUCT,C-2,FGS-HMEC-A,,4X4 END CAP KIT,9,EA,,,
FIBER DUCT,C-2,FGS(X)-MDSP-A/I,,4X4 INSERTABLE DOWNSPOUT EXPRESS EXIT,13,EA,,,
FIBER DUCT,C-2,FGS-MHIS-A,,4inch CUT IN TEE,4,EA,,,
FIBER DUCT,C-2,FGS-MHIS-B,,6inch CUT IN TEE,4,EA,,,
FIBER DUCT,C-2,FGS-MU9E-A,,4X4 90degree UP ELBOW ,13,EA,,,
FIBER DUCT,C-2,FGS-MTRM-A,,4X4 TRUMPET FLARE KIT,5,EA,,,
FIBER DUCT,C-2,FGS-MFAW-A,,4X4 SNAP FIT JUNCTION KIT,33,EA,,,
FIBER DUCT,C-2,FGS-JUNC-A,,4X4 NON-TOOTHLESS JUNCTION KIT,26,EA,,,
FIBER DUCT,C-2,FGS-MJWR-A,,4X4 JUNCTION KIT,19,EA,,,
FIBER DUCT,C-2,FGS(X)-MX4E-A,,4X4 45degree HORIZONTAL KIT,2,EA,,,
